Rank,City,State,Population,Metro_Population,Sexratio,Literacy
483,Nagaur,Rajasthan,102872,108540,945,70.68
484,Buxar,Bihar,102861,110608,895,83.82
485,Seoni,Madhya Pradesh,102343,102343,955,90.46
486,Aurangabad,Bihar,102244,102244,910,86.03
487,Greater Noida,Uttar Pradesh,102054,102054,837,86.47
488,Hinganghat,Maharashtra,101805,101805,936,93.25
489,Sujangarh,Rajasthan,101523,101523,956,73.33
490,Bhadreswar,West Bengal,101477,101477,903,86.51
491,Chilakaluripet,Andhra Pradesh,101398,101398,1020,71.54
492,Kasganj,Uttar Pradesh,101277,101277,891,77.36
493,Kalyani,West Bengal,100575,100575,983,87.9
494,Gangtok,Sikkim,100286,100286,912,89.33
495,Datia,Madhya Pradesh,100284,100284,900,80.56
496,Nagda,Madhya Pradesh,100039,100039,947,80.71
497,Banswara,Rajasthan,99969,101177,960,85.72
498,Kapurthala,Punjab,98916,98916,839,85.08
