city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Yeshwanthpur,4,5,3,3,acept,furnished,14010,18000,3585,231,35820
Kolkata,Alipore,4,2,2,3,acept,not furnished,2331,6000,711,81,9123
Bangalore,Battarahalli,3,2,2,4,acept,furnished,3939,10800,1242,138,16119
Bangalore,Electronic City,3,3,2,-,not acept,not furnished,360,6000,0,93,6453
Mumbai,Bhiwandi,4,3,3,-,acept,furnished,0,13200,627,237,14064
Bangalore,Bommasandra,3,3,1,1,acept,not furnished,3675,17400,1125,222,22422
Kolkata,Alipore,4,2,2,3,acept,not furnished,2631,5850,813,78,9372
Mumbai,Kolshet Road,4,4,3,-,acept,not furnished,0,7500,786,135,8421
Mumbai,Bhiwandi,4,4,4,-,acept,furnished,3,27000,1077,480,28560
Kolkata,New Alipore,2,1,1,2,acept,not furnished,750,3900,90,54,4794
Bangalore,Hormavu,3,2,3,-,acept,not furnished,0,15000,0,228,15228
Delhi,Vasant Kunj,2,2,0,4,acept,not furnished,2205,3000,291,39,5535
Bangalore,Kanakpura Road,2,1,1,4,acept,furnished,1467,5700,0,75,7242
Bangalore,Sarjapur  Road,2,1,1,9,acept,furnished,1884,9300,324,120,11628
Bangalore,Varthur,1,2,1,4,acept,furnished,7200,36000,1050,459,44700
Delhi,Hauz Khas,3,2,1,4,acept,furnished,5871,20400,1539,264,28074
Bangalore,Hebbal,5,6,2,-,acept,not furnished,0,27000,2151,408,29559
Kolkata,Rajarhat,3,1,1,2,acept,not furnished,900,4500,255,60,5715
Kolkata,Tangra,2,2,2,3,acept,not furnished,2010,6000,531,81,8622
Kolkata,Khardah,7,7,4,-,acept,furnished,0,26700,2829,438,29967
Bangalore,Begur Road,4,2,2,3,not acept,not furnished,7680,24000,1950,306,33930
Delhi,Dwarka Mor,2,1,1,2,acept,not furnished,2250,6600,279,87,9216
Delhi,Vasant Kunj,2,2,1,3,acept,not furnished,1800,3600,51,48,5499
Bangalore,Bannerghatta Road,3,2,1,18,acept,not furnished,3450,15900,501,204,20055
Kolkata,Tiljala,4,4,0,-,acept,not furnished,0,11820,0,195,12015
Mumbai,Vikhroli,2,1,0,2,acept,not furnished,900,3900,192,57,5049
Bangalore,Chandapura,3,1,1,11,acept,not furnished,1530,5400,0,69,6999
Bangalore,Whitefield,1,1,0,-,not acept,not furnished,0,2250,0,36,2286
Bangalore,Hosur Road,3,3,2,1,acept,furnished,5925,8700,1377,111,16113
Bangalore,Electronic City,4,2,2,-,acept,not furnished,0,10500,126,159,10785
Kolkata,Salap,4,4,4,1,acept,furnished,6855,25500,3597,342,36300
Delhi,Paschim Vihar,1,1,0,1,acept,not furnished,885,3300,0,45,4230
Bangalore,Kaverappa Layout,4,7,6,-,acept,not furnished,0,23970,900,363,25233
Bangalore,Talaghattapura,2,3,2,5,not acept,not furnished,6000,36900,1626,468,45000
Delhi,Mahavir Enclave,2,1,1,8,acept,furnished,1590,5880,138,78,7686
Bangalore,7th Phase JP Nagar,1,1,0,-,not acept,not furnished,0,3000,102,48,3150
Bangalore,Vasanth nagar,5,5,6,-,acept,not furnished,0,45000,5751,678,51420
Bangalore,Rachenahalli,3,1,1,1,acept,furnished,1368,8400,63,108,9939
Mumbai,Virar,2,1,0,1,acept,not furnished,0,3000,0,45,3045
Mumbai,Mira Road East,2,1,0,-,acept,not furnished,300,2100,300,33,2733
Kolkata,Dum Dum,1,2,0,4,acept,not furnished,975,3900,162,54,5091
Kolkata,Keshtopur,3,2,2,3,acept,not furnished,4050,4800,324,66,9240
Mumbai,Kanjurmarg,1,1,0,2,acept,not furnished,300,2880,225,45,3450
Bangalore,Tumkur Road,3,2,1,-,acept,not furnished,0,19200,177,291,19668
Bangalore,9th Phase JP Nagar,1,1,1,8,acept,furnished,1800,10200,240,132,12372
Bangalore,Hegde Nagar,2,1,1,2,acept,not furnished,3240,12900,354,165,16659
Chennai,Pammal,1,1,0,8,acept,not furnished,1440,1500,42,21,3003
Delhi,Sector 10 Dwarka,2,1,1,8,acept,not furnished,2997,3825,375,51,7248
Bangalore,Karuna Nagar,3,2,5,-,not acept,not furnished,0,10065,645,153,10863
Bangalore,Lingadheeranahalli,2,3,2,18,acept,not furnished,4200,10650,1476,135,16461
Bangalore,Chandapura,2,1,1,8,acept,furnished,3246,11460,402,147,15255
Bangalore,Kannamangala,1,1,0,8,acept,not furnished,1200,3390,90,45,4725
Chennai,somangalam,3,2,2,-,acept,not furnished,0,7500,1266,114,8880
Delhi,Vasant Vihar,2,2,1,2,not acept,furnished,2700,8250,825,108,11883
Delhi,Greater Kailash II,2,1,1,4,acept,not furnished,1350,5100,300,66,6816
Bangalore,Sarjapur,1,1,0,3,not acept,furnished,900,1800,120,24,2844
Bangalore,GM Palaya,3,2,1,7,not acept,not furnished,5889,10500,1746,135,18270
Delhi,Chattarpur,2,1,1,5,acept,not furnished,2070,4500,75,60,6705
Bangalore,Chandapura,2,1,1,8,acept,furnished,1800,5100,276,66,7242
Bangalore,Marathahalli,3,2,5,-,acept,not furnished,0,34500,6000,519,41010
Delhi,Sector 12 Dwarka,4,3,2,5,acept,not furnished,6900,27000,2001,348,36240
Bangalore,7th Phase JP Nagar,2,1,1,7,not acept,not furnished,960,3870,0,51,4881
Mumbai,Seawoods,3,3,0,-,not acept,not furnished,1650,7500,216,135,9501
Bangalore,Thigalarapalya,3,4,3,6,acept,not furnished,11700,39000,4251,495,55440
Kolkata,New Town,3,2,1,2,acept,not furnished,1500,3750,258,51,5559
Delhi,Ranjeet Nagar,3,3,2,4,acept,not furnished,6489,15000,1131,195,22815
Delhi,Defence Colony,2,1,1,6,not acept,not furnished,3600,11400,750,147,15897
Bangalore,Margondanahalli,1,1,1,10,not acept,furnished,2286,10500,195,135,13116
Bangalore,Rajaji Nagar,3,2,1,4,not acept,furnished,3402,23700,1158,303,28563
Kolkata,Bhawanipur,3,3,2,6,acept,not furnished,2100,5760,627,78,8565
Bangalore,Rachenahalli,2,2,1,6,not acept,not furnished,1560,6165,0,81,7806
Bangalore,Begur Road,4,3,4,4,acept,not furnished,9600,33000,3000,420,46020
Bangalore,Raja Rajeshwari Nagar,1,1,0,7,not acept,not furnished,1395,3600,0,48,5043
Bangalore,Kalkere,3,3,2,19,acept,furnished,8700,42000,2694,534,53940
Bangalore,Kanakpura Road,3,3,2,-,acept,not furnished,0,8100,819,123,9042
Bangalore,Kothannur,1,1,0,1,not acept,not furnished,0,3600,177,48,3825
Mumbai,Kalamboli,3,3,2,-,acept,not furnished,0,24000,627,429,25056
Bangalore,5th Phase JP Nagar,1,1,1,4,not acept,not furnished,1425,6600,231,84,8340
Chennai,Singaperumal Koil,3,3,2,4,acept,not furnished,3000,11412,0,147,14559
Bangalore,Kanakpura Road,3,1,1,15,acept,furnished,1668,6600,12,93,8373
Delhi,Punjabi Bagh,3,2,1,2,acept,not furnished,5700,4050,420,54,10224
Mumbai,Warai,1,1,0,6,acept,not furnished,540,2400,60,36,3036
Bangalore,Raja Rajeshwari Nagar,1,1,0,6,acept,furnished,1260,4980,0,66,6306
Kolkata,Mankundu,2,1,1,3,acept,not furnished,300,3150,252,42,3744
Bangalore,Hennur Road,2,1,1,2,acept,not furnished,3000,9000,150,117,12267
Kolkata,Jodhpur Park,3,1,1,4,acept,not furnished,900,2700,168,36,3804
Chennai,Urapakkam,2,1,1,7,acept,not furnished,744,2940,231,39,3954
Kolkata,New Town,3,1,1,4,acept,not furnished,720,3300,300,45,4365
Bangalore,Hormavu,3,5,3,10,acept,furnished,4944,10440,3255,135,18774
Bangalore,Hennur Road,3,3,2,12,not acept,not furnished,2691,10500,0,135,13326
Bangalore,Electronics City Phase 1,3,2,2,-,acept,not furnished,0,12000,801,183,12984
Kolkata,Madhyamgram,2,1,1,1,acept,not furnished,300,2745,189,39,3273
Delhi,Ismailpur Road,4,3,0,6,acept,not furnished,7950,13500,2076,174,23700
Bangalore,Electronic City Phase II,1,1,1,8,not acept,furnished,1974,10500,369,135,12978
Bangalore,Hebbal,4,2,8,-,acept,not furnished,0,39120,1500,591,41220
Chennai,Kolathur,3,1,1,7,acept,not furnished,2997,3270,282,42,6591
Bangalore,Gollahalli,5,5,4,-,acept,not furnished,0,21000,1500,318,22818
Bangalore,Kengeri,4,5,4,7,acept,not furnished,9720,37500,2751,477,50460
Delhi,Mehrauli,3,1,0,-,acept,not furnished,0,4800,120,75,4995
Bangalore,Electronic City,2,2,2,6,acept,furnished,5100,19500,126,249,24975
Bangalore,Seegehalli,3,2,2,1,acept,not furnished,2190,9000,909,117,12216
Kolkata,Park Circus,3,2,2,7,not acept,not furnished,3882,6600,717,90,11289
Kolkata,Amtala,1,1,1,15,not acept,furnished,1230,8070,516,108,9924
Mumbai,Khar West,2,1,1,2,acept,not furnished,1146,2700,186,42,4074
Bangalore,Thanisandra,3,2,2,8,acept,not furnished,4878,9000,0,117,13995
Delhi,Uttam Nagar,2,2,1,12,acept,not furnished,3000,4080,828,54,7962
Mumbai,Titwala,2,2,2,1,acept,not furnished,720,4800,252,72,5844
Mumbai,Bhandup West,3,1,0,3,acept,furnished,750,5610,177,84,6621
Bangalore,Bommenahalli,4,4,4,2,acept,not furnished,5400,10170,2325,129,18024
Bangalore,Giri Nagar,3,4,2,13,acept,not furnished,8700,37500,2745,477,49410
Bangalore,Uttarahalli,1,1,1,2,not acept,not furnished,0,3600,0,48,3648
Kolkata,Barisha Purba Para Road,3,2,2,3,acept,not furnished,810,3900,303,54,5067
Mumbai,Nilje Gaon,3,3,3,2,acept,furnished,2100,12540,501,186,15327
Bangalore,Whitefield,2,1,0,-,acept,not furnished,0,3600,126,57,3783
Kolkata,Sodepur,2,2,2,6,not acept,furnished,2469,12600,1152,168,16389
Kolkata,Madhyamgram,2,1,1,3,acept,not furnished,690,3300,84,45,4119
Chennai,Veppampatttu,3,1,1,1,acept,not furnished,1950,3900,51,51,5952
Bangalore,Yelahanka,1,1,1,1,not acept,furnished,3300,4800,480,63,8643
Mumbai,mumbai,3,2,1,9,acept,furnished,3150,12000,375,177,15702
Mumbai,Thane West,1,1,0,9,acept,not furnished,1500,2550,126,39,4215
Delhi,Rajinder Nagar,2,2,0,4,acept,not furnished,2100,5850,264,78,8292
Bangalore,Yeshwanthpur,4,4,3,1,acept,furnished,9000,30000,0,381,39390
Bangalore,Vittasandra,3,3,2,12,acept,not furnished,2214,10200,345,132,12891
Delhi,Ramesh Nagar,4,3,1,4,acept,not furnished,4710,10500,1518,138,16866
Kolkata,Tollygunge,4,3,2,-,acept,not furnished,0,39000,708,642,40350
Bangalore,Thanisandra,4,4,2,-,acept,not furnished,0,16575,501,252,17328
Bangalore,TC Palaya,1,1,0,18,acept,furnished,1050,3900,63,51,5064
Bangalore,Rajaji Nagar,3,2,1,-,not acept,not furnished,0,7500,1263,114,8877
Bangalore,Arekere,2,3,3,15,acept,furnished,7800,27600,750,351,36510
Mumbai,Virar,1,1,1,9,not acept,furnished,3240,9900,351,147,13638
Bangalore,Hebbal,3,3,2,-,not acept,furnished,0,21000,1251,318,22569
Kolkata,New Town,3,2,1,3,acept,not furnished,750,3600,207,48,4605
Bangalore,Old Airport Road,3,1,1,6,acept,not furnished,1380,9450,0,120,10950
Bangalore,Nagarbhavi,4,4,4,4,acept,not furnished,9741,45000,4767,573,60090
Bangalore,Kammasandra,4,3,4,-,acept,not furnished,0,9900,501,150,10551
Kolkata,Maheshtala,2,1,2,3,not acept,furnished,615,6300,297,84,7296
Bangalore,Ramamurthy Nagar,3,2,1,21,acept,not furnished,1503,8700,84,111,10398
Delhi,Lajpat Nagar II,3,2,3,9,acept,not furnished,10047,39600,1911,513,52080
Bangalore,Bannerghatta Road,1,2,0,-,acept,not furnished,0,2283,387,30,2700
Bangalore,Anekal,3,2,1,4,acept,not furnished,3000,9000,150,117,12267
Kolkata,Jodhpur Park,1,1,1,6,not acept,not furnished,4500,4200,474,57,9231
Delhi,Greater Kailash,1,1,0,-,acept,not furnished,150,2100,0,30,2280
Bangalore,Bommasandra Industrial Area,5,7,3,-,acept,furnished,0,39000,3252,588,42840
Bangalore,Iblur Village,3,3,3,4,acept,furnished,4200,13350,990,171,18711
Bangalore,Parappana Agrahara,2,1,1,3,not acept,not furnished,2130,8430,651,108,11319
Bangalore,Kanakpura Road,2,1,1,5,acept,not furnished,2025,4650,0,60,6735
Delhi,Patel Nagar,4,2,1,11,acept,not furnished,6000,10500,501,138,17139
Kolkata,GARIA STATION ROAD,6,2,3,-,acept,not furnished,0,7800,414,129,8343
Bangalore,Kasavanhalli,3,2,1,7,acept,not furnished,3600,3600,1050,48,8298
Bangalore,Devanahalli,2,2,0,15,not acept,not furnished,1770,4650,456,60,6936
Bangalore,Frazer Town,3,2,2,-,acept,not furnished,0,22500,3000,339,25839
Delhi,Sector 6 Dwarka,4,5,3,7,acept,not furnished,11550,38250,2250,495,52560
Bangalore,Varthur,1,1,0,3,acept,not furnished,1650,6300,0,81,8031
Bangalore,Raja Rajeshwari Nagar,1,1,0,15,acept,not furnished,900,4500,0,60,5460
Bangalore,Malleshwaram,2,2,1,11,acept,not furnished,2760,11970,0,153,14883
Bangalore,Old Madras Road,3,4,2,11,acept,not furnished,9474,45000,3300,573,58350
Kolkata,Salt Lake City,3,3,4,-,acept,not furnished,0,15000,1362,246,16608
Bangalore,7th Phase JP Nagar,2,1,1,6,not acept,not furnished,720,4410,90,57,5277
Kolkata,Keshtopur,4,2,3,1,acept,furnished,2700,9900,1020,132,13752
Bangalore,Budigere,1,2,1,5,acept,not furnished,3120,18000,687,231,22038
Delhi,Chattarpur,3,2,1,1,acept,furnished,2526,3000,189,39,5754
Bangalore,Rachenahalli,2,1,0,9,acept,furnished,1191,5340,0,69,6600
Mumbai,Kandivali East,2,1,0,-,acept,not furnished,0,2850,0,51,2901
Bangalore,Basavangudi,3,2,2,11,acept,not furnished,1956,3870,270,51,6147
Bangalore,Electronics City Phase 1,3,3,2,-,acept,not furnished,0,7500,21,114,7635
Chennai,Veppampatttu,1,1,2,-,acept,not furnished,0,4350,15,66,4431
Chennai,Sithalapakkam,4,4,8,-,acept,not furnished,0,15300,960,231,16491
Chennai,West Tambaram,1,1,1,2,acept,not furnished,2070,7800,393,99,10362
Bangalore,Begur Road,6,2,2,-,acept,not furnished,0,10800,375,165,11340
Bangalore,Somasundara Palya,1,1,0,6,acept,furnished,1290,6900,0,90,8280
Bangalore,Choodasandra,3,2,1,7,not acept,not furnished,6000,22800,714,291,29805
Kolkata,Raypur,5,4,2,-,acept,not furnished,0,18000,2424,297,20721
Bangalore,5th Block Hbr Layout,3,3,0,6,acept,not furnished,6168,7200,600,93,14061
Bangalore,Varthur,3,2,1,4,acept,not furnished,1200,3900,225,51,5376
Bangalore,Kanakpura Road,2,1,0,15,acept,furnished,2970,7500,150,96,10716
Mumbai,Bandra,3,3,4,-,acept,furnished,0,17580,102,315,17997
Delhi,Uttam Nagar west,1,1,0,3,not acept,furnished,1575,7800,288,102,9765
Bangalore,Ambedkar Colony,4,5,5,21,not acept,furnished,17100,45000,8931,573,71610
Chennai,Kilkattalai,5,7,4,17,acept,not furnished,16143,30000,3300,381,49830
Bangalore,Yelahanka,1,1,1,8,not acept,not furnished,1320,8400,300,108,10128
Bangalore,1st Block Jayanagar,3,2,2,20,acept,furnished,3600,13500,1251,174,18525
Kolkata,Keshtopur,3,3,3,-,acept,not furnished,0,17850,438,294,18582
Kolkata,Tollygunge,4,3,2,-,acept,not furnished,0,43500,1209,714,45420
Bangalore,Maruthi Sevanagar,4,5,4,13,acept,furnished,8400,45000,4320,573,58290
Delhi,Sector 22 Rohini,1,1,0,8,acept,not furnished,1500,3900,126,51,5577
Mumbai,Samtanagar Thakur Village,3,3,2,6,acept,not furnished,3300,16335,792,240,20667
Bangalore,Koramangala,1,1,1,4,acept,not furnished,1899,10200,342,132,12573
Bangalore,Mahadevpura,1,1,1,5,acept,furnished,900,5100,150,66,6216
Kolkata,Sector 1 Salt Lake City,3,3,3,4,acept,not furnished,978,7200,753,96,9027
Bangalore,1st Phase JP Nagar,3,2,2,-,acept,not furnished,0,4800,0,75,4875
Bangalore,Sonnenahalli,2,2,3,3,acept,not furnished,7500,14400,3375,183,25458
Bangalore,Kengeri,4,2,3,1,acept,not furnished,10800,15000,4653,192,30660
Kolkata,Kaikhali,1,1,0,1,not acept,furnished,0,2100,0,30,2130
Mumbai,Borivali East,1,1,0,2,acept,not furnished,0,3210,168,48,3426
Bangalore,8th Phase JP Nagar,2,1,1,7,acept,not furnished,1470,4974,111,66,6621
Bangalore,Thyagaraja Nagar,4,5,3,3,acept,not furnished,0,45000,0,573,45570
Kolkata,Tangra,2,1,1,2,acept,not furnished,600,3300,273,45,4218
Kolkata,Baruipur,1,1,0,13,acept,not furnished,1125,2550,165,36,3876
Kolkata,Nager Bazar,1,1,1,-,not acept,not furnished,0,11700,486,192,12378
Delhi,Rohini sector 24,3,2,1,4,acept,not furnished,7050,15000,999,195,23244
Kolkata,New Alipore,1,1,1,9,acept,not furnished,810,4200,303,57,5370
Bangalore,Haralur Road,4,3,2,13,acept,not furnished,3600,11400,660,147,15807
Bangalore,Gottigere,2,1,1,8,acept,furnished,1050,5400,150,69,6669
Bangalore,Kanakpura Road,1,1,1,7,not acept,not furnished,3111,6069,0,78,9258
Bangalore,Hulimavu,1,1,1,7,not acept,furnished,1740,9000,24,117,10881
Bangalore,KR Puram,3,1,1,7,acept,furnished,1800,5400,363,69,7632
Bangalore,Raja Rajeshwari Nagar,1,1,0,3,not acept,not furnished,450,2550,0,33,3033
Bangalore,Marathahalli,2,3,2,-,acept,furnished,0,9600,0,147,9747
Bangalore,Jigani,3,3,5,-,acept,furnished,0,45000,3375,678,49050
Bangalore,HSR Layout,1,1,0,8,not acept,not furnished,1440,3660,75,48,5223
Chennai,Sholinganallur,2,1,1,-,acept,not furnished,0,3900,540,60,4500
Bangalore,Chikkabanavar,2,3,2,5,not acept,not furnished,6195,29400,1500,375,37470
Chennai,Navallur,3,2,2,8,acept,not furnished,2100,6000,435,78,8613
Mumbai,Thane West,2,1,1,3,acept,not furnished,900,2460,96,36,3492
Bangalore,Bhoganhalli,2,1,1,4,acept,not furnished,4500,6297,750,81,11628
Bangalore,Sector 2 HSR Layout,1,1,1,10,not acept,furnished,4500,9150,600,117,14367
Bangalore,Laggere,3,3,2,-,acept,furnished,0,22500,1950,339,24789
Bangalore,7th Phase JP Nagar,1,1,0,12,not acept,not furnished,1239,10200,243,132,11814
Bangalore,Bommenahalli,3,5,3,12,acept,furnished,7500,21000,2250,267,31020
Mumbai,Nalasopara East,3,2,2,4,acept,not furnished,2010,10200,600,150,12960
Delhi,Malviya Nagar,2,2,0,2,not acept,not furnished,450,5100,252,66,5868
Delhi,Mansa Ram Park,3,3,2,4,acept,not furnished,6228,15000,1071,195,22494
Chennai,Kelambakkam,2,1,1,1,acept,not furnished,1050,4191,240,54,5535
Mumbai,Dombivali East,2,2,0,2,acept,not furnished,930,3300,114,51,4395
Bangalore,Mallasandra,3,4,2,8,acept,furnished,5400,33000,1776,420,40590
Mumbai,Kanjurmarg,1,1,0,2,acept,not furnished,300,2880,225,45,3450
Bangalore,Rachenahalli,2,1,1,1,acept,furnished,1500,7140,360,93,9093
Bangalore,Electronic City,3,1,1,10,acept,not furnished,2100,4200,0,54,6354
Bangalore,Thanisandra,3,2,6,-,acept,not furnished,0,6900,528,105,7533
Bangalore,Hulimavu,1,1,0,7,acept,not furnished,600,4950,0,63,5613
Chennai,Ambattur,3,3,2,-,acept,not furnished,1680,9600,264,147,11691
Mumbai,Wadala,1,1,0,4,acept,not furnished,1020,4500,207,66,5793
Kolkata,Agarpara,2,2,0,18,acept,not furnished,1200,3300,0,45,4545
Kolkata,Nager Bazar,4,4,4,9,acept,not furnished,8070,23100,3174,309,34650
Bangalore,Channasandra,3,2,2,-,not acept,not furnished,450,6600,594,102,7746
Bangalore,Vasanth nagar,4,6,5,-,acept,not furnished,0,19650,5100,297,25047
Delhi,Khanpur,2,1,1,7,acept,not furnished,2262,2250,132,30,4674
Kolkata,Ballygunge,2,1,1,11,acept,not furnished,1200,1500,90,21,2811
Bangalore,HBR Layout,2,3,3,15,acept,not furnished,4500,27000,1680,345,33540
Mumbai,Majiwada,3,4,2,-,acept,furnished,1890,27000,1125,480,30510
Kolkata,Madhyamgram,1,1,1,4,not acept,furnished,1590,5550,606,75,7821
Bangalore,Yeshwanthpur,4,3,3,-,acept,not furnished,0,21000,2700,318,24018
Chennai,Kelambakkam,1,1,1,2,acept,not furnished,1089,2100,135,27,3351
Delhi,Kundli,4,2,1,7,acept,furnished,5832,10500,1071,138,17541
Kolkata,Behala,1,1,0,1,not acept,not furnished,0,3300,24,45,3369
Bangalore,Rajaji Nagar,3,2,2,4,acept,furnished,2400,10500,0,135,13035
Bangalore,KR Puram,1,1,1,2,acept,furnished,5850,15000,1125,192,22167
Bangalore,Margondanahalli,2,2,2,15,acept,not furnished,1740,7500,348,96,9684
Bangalore,Hennur,1,1,1,4,not acept,not furnished,1458,9600,0,39,11097
Bangalore,BTM 2nd Stage,2,3,4,1,not acept,not furnished,9435,7500,2709,96,19740
Bangalore,HOSUR MAIN ROAD,4,5,3,5,acept,not furnished,6300,7800,1737,99,15936
Mumbai,Vasai,1,1,0,1,acept,not furnished,297,3600,30,54,3981
Chennai,Sholinganallur,2,1,0,1,acept,not furnished,1371,3402,165,45,4983
Bangalore,Marathahalli,3,3,2,-,acept,not furnished,0,31500,2304,474,34290
Bangalore,Electronic City Phase II,1,1,1,5,acept,furnished,1500,11700,252,150,13602
Kolkata,Rajarhat,3,2,3,15,acept,not furnished,2640,6900,699,93,10332
Bangalore,Sarjapur  Road,2,2,1,3,acept,not furnished,3300,8550,537,111,12498
Kolkata,New Barrackpur,2,1,0,12,not acept,not furnished,1425,4800,210,66,6501
Kolkata,VIP Road,2,1,1,4,not acept,not furnished,390,2700,0,36,3126
Mumbai,mumbai,2,1,0,4,acept,not furnished,1260,3750,264,57,5331
Mumbai,Dombivli (West),3,2,1,10,acept,not furnished,2400,5700,600,84,8784
Chennai,Sithalapakkam,3,3,3,6,acept,not furnished,9600,13500,1602,174,24876
Mumbai,Badlapur East,2,1,1,5,acept,not furnished,1200,3300,126,51,4677
Bangalore,Haralur Road,3,4,0,4,acept,not furnished,3600,17700,1425,225,22950
Bangalore,Raja Rajeshwari Nagar,1,1,0,-,acept,not furnished,0,3300,90,42,3432
Bangalore,Electronic City Phase II,1,1,1,4,not acept,furnished,5361,3600,432,48,9441
Bangalore,Singasandra,1,1,1,6,acept,furnished,1569,12000,393,153,14115
Delhi,Paschim Vihar,2,1,0,2,acept,not furnished,1440,4251,252,54,5997
Chennai,Avadi,2,1,1,-,acept,not furnished,750,3600,120,48,4518
Bangalore,Bellandur,4,3,2,11,acept,furnished,5640,27000,1380,345,34380
Bangalore,Amruthahalli,3,4,2,8,acept,not furnished,5400,9000,1800,117,16317
Delhi,JJ Colony,3,3,0,2,acept,not furnished,4800,19200,1200,249,25449
Mumbai,Ulwe,1,1,1,6,acept,not furnished,1350,2805,135,42,4332
Delhi,Jangpura,4,4,0,-,acept,not furnished,0,45000,2250,687,47940
Bangalore,8th Phase JP Nagar,2,1,1,9,not acept,not furnished,1050,4740,0,63,5853
Bangalore,Hennur Road,2,1,1,-,not acept,not furnished,0,4350,102,66,4518
