area_name,price,dimensions,dis_mainroad,khata,amenities,type
Shivoham Shiva Temple,11286,5997,1542,A-Khata,22,C
Cubbon Park,5007,6953,16,Panchayat,1,C
Shivoham Shiva Temple,13233,13321,1241,B-Khata,25,R
Bull Temple,6620,914,868,A-Khata,22,R
Kempegowda Museum,9174,1365,2400,Panchayat,3,R
Nandi Hills,10866,8155,2826,Panchayat,8,R
Kempegowda Museum,13094,1461,182,A-Khata,14,R
Indira Gandhi Musical Fountain Park,24599,5842,2783,B-Khata,10,C
Lalbagh Botanical Garden,3861,10837,2545,Panchayat,25,R
MG Road,17164,16367,183,A-Khata,25,C
Cubbon Park,7132,19322,443,BDA,15,C
Sri Chamarajendra Park,15056,18862,1870,B-Khata,18,R
Sankey Tank,8991,15373,1967,A-Khata,7,C
Kempegowda Museum,8685,7697,1295,Panchayat,28,C
MG Road,3434,7411,1198,B-Khata,23,R
St. Mary's Basilica,18446,13734,171,BDA,17,R
Ulsoor Lake,18385,4904,2832,Panchayat,0,C
Sri Chamarajendra Park,20280,4722,2315,A-Khata,29,C
Jawaharlal Nehru Stadium,15414,15276,2044,A-Khata,12,R
Jawaharlal Nehru Planetarium,7422,16492,1545,BDA,3,R
Shivoham Shiva Temple,8580,6473,2652,BDA,9,C
Art of Living International Center,19648,18185,2579,Panchayat,9,R
Ulsoor Lake,17066,11239,1308,Panchayat,23,R
ISKCON Temple,5525,5341,1652,B-Khata,17,R
St. Mary's Basilica,13989,1690,589,Panchayat,28,R
ISKCON Temple,4710,1812,186,A-Khata,8,R
Shivoham Shiva Temple,5239,14866,1453,B-Khata,17,C
Gavi Gangadhareshwara Temple,10908,2258,2737,BDA,15,R
Commercial Street,16198,18949,81,BDA,16,C
National Gallery of Modern Art,9620,10187,181,B-Khata,27,C
Commercial Street,5307,10292,1719,BDA,1,C
HAL Aerospace Museum,11083,10852,595,BDA,20,R
Wonderla Amusement Park,9871,17694,1211,A-Khata,1,R
Sankey Tank,10473,2928,1981,BDA,7,C
Nandi Hills,12896,11501,126,A-Khata,14,R
Lalbagh Botanical Garden,19285,4559,840,Panchayat,6,R
Innovative Film City,12911,6603,2209,Panchayat,13,R
Gavi Gangadhareshwara Temple,14331,2473,926,A-Khata,11,C
Wonderla Amusement Park,10937,19496,750,BDA,26,R
Bannerghatta National Park,18952,13560,2342,Panchayat,11,R
Lalbagh Botanical Garden,9531,18527,2213,A-Khata,23,R
Jawaharlal Nehru Stadium,14691,1930,1872,A-Khata,24,R
Cubbon Park,15446,19547,648,B-Khata,28,C
Ulsoor Lake,8368,8676,1622,BDA,30,C
Sri Chamarajendra Park,7986,12985,2560,Panchayat,23,C
Shivoham Shiva Temple,7498,15430,179,BDA,18,R
UB City,23371,8793,1059,B-Khata,27,C
Bangalore Fort,5812,14351,2738,Panchayat,28,C
Jawaharlal Nehru Planetarium,24118,18315,2328,A-Khata,10,C
Visvesvaraya Industrial and Technological Museum,11227,6691,783,A-Khata,29,R
Sankey Tank,21372,3173,2364,B-Khata,0,C
Bangalore Fort,19865,13151,1578,A-Khata,27,C
Bull Temple,12129,16048,843,A-Khata,26,C
Bangalore Fort,14749,5565,2149,A-Khata,10,C
UB City,10236,17985,492,BDA,7,R
Nandi Hills,7307,17262,1802,B-Khata,18,R
Commercial Street,10880,11430,2101,Panchayat,6,C
Freedom Park,12471,19956,2373,B-Khata,10,C
Visvesvaraya Industrial and Technological Museum,18004,16800,1506,BDA,28,C
Sankey Tank,12746,19075,659,A-Khata,12,R
Sankey Tank,21163,8658,1325,A-Khata,29,R
Commercial Street,16473,2519,1946,A-Khata,24,C
Innovative Film City,14055,2313,2412,B-Khata,13,C
Bangalore Fort,8295,2719,478,B-Khata,7,C
MG Road,10195,5501,734,A-Khata,6,R
UB City,14835,6879,2397,BDA,30,R
Wonderla Amusement Park,18899,5433,1368,Panchayat,13,C
Ulsoor Lake,24989,18369,1800,Panchayat,13,C
Indira Gandhi Musical Fountain Park,16447,3373,2117,B-Khata,16,C
Snow City,10972,18858,2456,A-Khata,14,C
Nandi Hills,20350,747,581,BDA,26,R
Bannerghatta National Park,20407,14727,546,BDA,16,R
Art of Living International Center,12734,176,2487,BDA,28,C
UB City,4638,12789,2692,BDA,11,R
Jawaharlal Nehru Stadium,11210,8682,2860,A-Khata,20,C
Lalbagh Botanical Garden,3843,19140,2149,Panchayat,2,R
MG Road,15521,4837,2598,BDA,19,R
ISKCON Temple,13251,9617,2508,Panchayat,23,R
Wonderla Amusement Park,8132,8914,2190,B-Khata,30,C
Bangalore Fort,18217,5337,1521,B-Khata,6,C
MG Road,17532,15527,1225,BDA,29,R
Visvesvaraya Industrial and Technological Museum,7642,19640,859,B-Khata,12,C
Snow City,3826,19749,2775,Panchayat,28,C
Sri Chamarajendra Park,9034,1479,1615,Panchayat,22,C
Jawaharlal Nehru Stadium,12409,2258,933,B-Khata,5,R
National Gallery of Modern Art,4270,3051,1668,BDA,25,R
ISKCON Temple,13527,17499,731,A-Khata,4,C
Bannerghatta National Park,20372,1121,1746,Panchayat,29,R
Art of Living International Center,23839,19442,313,B-Khata,23,C
Visvesvaraya Industrial and Technological Museum,19100,8876,2127,B-Khata,14,R
Kempegowda Museum,23845,1359,259,Panchayat,4,R
Freedom Park,14895,6099,1910,BDA,5,C
Cubbon Park,7434,4131,2295,Panchayat,5,R
Ranga Shankara,10669,9794,1743,BDA,7,C
National Gallery of Modern Art,11883,10418,1139,A-Khata,1,C
Shivoham Shiva Temple,6128,1442,2716,Panchayat,9,R
UB City,18335,19820,139,B-Khata,27,C
Kempegowda Museum,20089,14124,2744,B-Khata,22,R
Bannerghatta National Park,14681,810,1790,A-Khata,20,C
Sri Chamarajendra Park,12538,3547,1807,Panchayat,19,C
St. Mary's Basilica,5962,1062,2119,B-Khata,11,R
Kempegowda Museum,22716,6965,2007,A-Khata,10,R
Ulsoor Lake,11074,2887,1060,Panchayat,9,C
Nandi Hills,12705,1566,2642,A-Khata,16,C
Bull Temple,13307,7977,1680,BDA,11,R
Indira Gandhi Musical Fountain Park,21356,11770,1439,Panchayat,24,R
Freedom Park,18961,2696,1252,A-Khata,10,C
UB City,4618,19319,1036,B-Khata,24,C
Indira Gandhi Musical Fountain Park,3586,3813,1931,BDA,0,C
Sri Chamarajendra Park,14886,12297,2754,BDA,0,R
Bangalore Fort,20475,5217,1660,A-Khata,1,R
Lalbagh Botanical Garden,21066,6752,672,B-Khata,25,R
Bull Temple,23841,127,604,BDA,1,C
Indira Gandhi Musical Fountain Park,22004,3803,1570,Panchayat,0,R
Gavi Gangadhareshwara Temple,19996,13436,526,BDA,7,C
Sri Chamarajendra Park,3874,816,664,B-Khata,7,C
Bull Temple,22596,2124,851,BDA,29,C
Ulsoor Lake,9054,6109,2220,Panchayat,11,C
Bangalore Fort,20224,432,2194,A-Khata,14,C
Visvesvaraya Industrial and Technological Museum,11560,13606,2895,A-Khata,10,C
Ulsoor Lake,21026,2070,1427,Panchayat,6,C
Sankey Tank,23902,13316,1874,A-Khata,7,C
Shivoham Shiva Temple,11968,5132,2631,B-Khata,11,C
MG Road,21101,14814,1774,B-Khata,15,C
ISKCON Temple,22502,11746,1574,BDA,13,C
Innovative Film City,20327,19284,1460,B-Khata,0,C
Freedom Park,9877,6793,816,BDA,27,C
Sri Chamarajendra Park,19437,19442,1369,B-Khata,14,R
Commercial Street,11623,9879,599,A-Khata,23,C
Gavi Gangadhareshwara Temple,22910,986,824,B-Khata,1,R
Lalbagh Botanical Garden,9875,15992,397,B-Khata,10,R
Freedom Park,10702,4148,899,B-Khata,5,C
Ulsoor Lake,21916,14111,1809,A-Khata,16,R
Bangalore Palace,5983,15676,417,Panchayat,20,R
Kempegowda Museum,10906,16048,1333,Panchayat,23,R
Nandi Hills,17684,10718,1454,BDA,13,C
Sankey Tank,4003,3477,2557,Panchayat,21,C
Gavi Gangadhareshwara Temple,3743,6236,1587,B-Khata,5,R
Bangalore Palace,12382,9550,134,A-Khata,13,R
Sankey Tank,21349,10765,1553,B-Khata,10,R
Ulsoor Lake,17493,18048,653,BDA,29,C
Bull Temple,18393,2289,2714,BDA,9,C
Ulsoor Lake,10586,13824,665,A-Khata,15,C
HAL Aerospace Museum,5646,11805,2978,B-Khata,6,C
Wonderla Amusement Park,13136,11966,2407,Panchayat,15,R
HAL Aerospace Museum,4467,13903,815,A-Khata,0,C
Visvesvaraya Industrial and Technological Museum,12066,19388,732,A-Khata,29,C
HAL Aerospace Museum,24576,13374,1975,BDA,17,R
Jawaharlal Nehru Planetarium,16755,14331,547,Panchayat,4,R
Innovative Film City,13045,17390,1091,B-Khata,24,R
Kempegowda Museum,22275,16680,1531,Panchayat,15,R
Ranga Shankara,24564,9642,1787,BDA,28,C
UB City,24549,4980,1150,B-Khata,6,R
Jawaharlal Nehru Planetarium,22168,3651,2055,B-Khata,29,C
Indira Gandhi Musical Fountain Park,18800,625,1085,Panchayat,10,R
Commercial Street,21830,933,2132,A-Khata,21,R
Innovative Film City,14241,18402,446,B-Khata,5,R
ISKCON Temple,18605,12230,975,BDA,26,R
Commercial Street,24284,5373,349,BDA,10,R
Ranga Shankara,5925,19035,1508,BDA,7,R
Bangalore Fort,8673,6543,1710,A-Khata,29,C
Ulsoor Lake,7833,1178,1464,A-Khata,11,C
National Gallery of Modern Art,5703,16708,461,Panchayat,7,C
MG Road,24045,2660,1295,BDA,11,C
Jawaharlal Nehru Planetarium,21236,13357,2943,Panchayat,8,C
St. Mary's Basilica,16906,16144,259,A-Khata,10,R
Lumbini Gardens,24807,784,2502,B-Khata,24,C
Bangalore Fort,5125,15279,374,A-Khata,4,R
Wonderla Amusement Park,19263,10662,1492,A-Khata,19,R
Innovative Film City,21387,3443,2130,BDA,18,R
HAL Aerospace Museum,12539,325,1293,Panchayat,24,C
Sankey Tank,21954,19958,1866,BDA,10,R
Shivoham Shiva Temple,4577,12961,766,Panchayat,10,C
Gavi Gangadhareshwara Temple,24189,5186,2265,A-Khata,13,C
ISKCON Temple,22257,16115,1590,BDA,6,C
HAL Aerospace Museum,19246,8754,2866,BDA,22,C
Bangalore Fort,23148,2402,640,BDA,15,R
Wonderla Amusement Park,22739,1660,2813,BDA,19,R
Snow City,6581,17902,774,A-Khata,24,C
Gavi Gangadhareshwara Temple,6061,2145,193,A-Khata,20,C
Shivoham Shiva Temple,11422,3643,2199,A-Khata,29,C
HAL Aerospace Museum,23208,12753,1253,BDA,9,R
ISKCON Temple,7739,14975,1218,B-Khata,9,R
Wonderla Amusement Park,10247,6120,2345,B-Khata,21,C
Art of Living International Center,23723,8923,949,BDA,17,C
Kempegowda Museum,20671,15198,435,A-Khata,22,R
Bannerghatta National Park,9155,12320,1503,Panchayat,2,C
Lalbagh Botanical Garden,20256,6579,1917,Panchayat,22,R
St. Mary's Basilica,24461,13275,918,A-Khata,6,R
Innovative Film City,11108,17519,319,Panchayat,4,C
MG Road,15703,11749,262,BDA,27,C
ISKCON Temple,15087,6505,2846,Panchayat,12,C
MG Road,22760,10554,2232,B-Khata,15,R
Freedom Park,8784,3518,1366,A-Khata,0,R
Freedom Park,8606,7757,2031,B-Khata,14,R
Bangalore Palace,23671,17744,2534,B-Khata,26,C
Indira Gandhi Musical Fountain Park,15355,981,2617,A-Khata,13,C
Sankey Tank,4346,15712,742,A-Khata,20,R
Bull Temple,13992,8746,699,Panchayat,19,R
Commercial Street,10993,8649,1,Panchayat,26,R
Freedom Park,10455,19128,2099,Panchayat,15,C
Jawaharlal Nehru Planetarium,10056,19353,2130,Panchayat,17,C
Snow City,13698,4113,992,Panchayat,21,R
Commercial Street,12668,17602,1361,Panchayat,25,C
Jawaharlal Nehru Stadium,17140,15742,2189,BDA,4,C
National Gallery of Modern Art,6526,16232,1058,B-Khata,7,R
Innovative Film City,12084,13624,638,BDA,11,R
Wonderla Amusement Park,3500,17026,1398,A-Khata,9,R
Nandi Hills,3863,10510,523,B-Khata,9,C
Jawaharlal Nehru Stadium,16588,8594,1411,B-Khata,15,R
Visvesvaraya Industrial and Technological Museum,8685,7505,1745,B-Khata,30,R
Bull Temple,23019,1004,2846,Panchayat,5,C
Sankey Tank,23284,2573,2672,A-Khata,22,R
Commercial Street,22794,16610,1712,BDA,15,R
National Gallery of Modern Art,11986,9052,1379,B-Khata,28,C
St. Mary's Basilica,16252,6767,1632,B-Khata,29,R
St. Mary's Basilica,21525,18784,1803,Panchayat,8,C
Nandi Hills,20063,4024,1383,B-Khata,27,R
Sankey Tank,4733,11495,2720,BDA,27,C
Wonderla Amusement Park,15127,5110,1951,B-Khata,11,R
Lalbagh Botanical Garden,14818,17472,819,B-Khata,18,R
Cubbon Park,9237,12385,283,Panchayat,18,R
Lalbagh Botanical Garden,8790,12219,1698,A-Khata,16,C
Freedom Park,9305,8957,942,B-Khata,10,R
Jawaharlal Nehru Planetarium,11158,17620,2945,Panchayat,17,R
St. Mary's Basilica,16170,9263,1308,Panchayat,11,R
Nandi Hills,12086,17628,808,Panchayat,6,C
Cubbon Park,6514,3200,1507,BDA,9,R
Bull Temple,11541,15335,1980,Panchayat,19,R
Visvesvaraya Industrial and Technological Museum,19990,5645,1895,B-Khata,7,R
Ranga Shankara,14137,17805,1618,B-Khata,17,C
MG Road,8105,19341,1899,B-Khata,4,C
National Gallery of Modern Art,3728,19723,1403,A-Khata,17,C
MG Road,19423,19344,1799,BDA,19,C
Cubbon Park,7496,10675,2593,BDA,16,C
HAL Aerospace Museum,5016,8596,2505,A-Khata,29,C
Commercial Street,21037,1960,2578,BDA,23,C
Innovative Film City,11398,4725,1571,BDA,21,R
Commercial Street,18178,19305,648,BDA,8,C
Lumbini Gardens,21975,1946,365,A-Khata,2,C
Ranga Shankara,23300,8944,1646,BDA,23,C
Freedom Park,16176,18420,11,A-Khata,28,C
UB City,15284,7729,1058,Panchayat,4,C
Ulsoor Lake,15787,18766,760,B-Khata,19,R
Snow City,9740,15701,2903,A-Khata,19,R
Jawaharlal Nehru Stadium,10216,2743,67,BDA,4,C
Gavi Gangadhareshwara Temple,9731,7212,1052,A-Khata,27,R
Sankey Tank,10447,13380,1459,B-Khata,13,C
St. Mary's Basilica,21629,17613,1889,A-Khata,17,R
Freedom Park,8909,17667,364,B-Khata,27,R
Nandi Hills,9244,16360,2693,A-Khata,9,C
Sankey Tank,24168,12775,2031,Panchayat,14,R
Bannerghatta National Park,8077,8812,2496,BDA,12,R
Bannerghatta National Park,19855,18288,1870,A-Khata,22,R
Indira Gandhi Musical Fountain Park,18502,2247,1647,A-Khata,16,R
ISKCON Temple,8793,19651,1764,BDA,28,C
HAL Aerospace Museum,10081,8406,1279,BDA,21,C
UB City,22041,19353,2538,B-Khata,11,C
Sankey Tank,5985,3184,1687,Panchayat,25,R
National Gallery of Modern Art,22314,633,2483,Panchayat,29,R
Bull Temple,6988,5857,1864,A-Khata,18,R
Nandi Hills,14725,16124,1343,BDA,30,R
Lalbagh Botanical Garden,19445,6768,791,A-Khata,8,R
National Gallery of Modern Art,18600,16217,406,BDA,18,C
Lumbini Gardens,21496,9237,1147,BDA,18,R
HAL Aerospace Museum,24793,18524,515,Panchayat,8,R
Cubbon Park,11279,14551,2729,B-Khata,1,R
Jawaharlal Nehru Stadium,11493,13297,1557,B-Khata,9,C
Lumbini Gardens,8249,19440,1332,A-Khata,21,R
Snow City,6888,11348,1507,B-Khata,14,C
Ranga Shankara,6955,8203,2743,B-Khata,5,R
Jawaharlal Nehru Planetarium,5099,13045,1402,Panchayat,7,C
ISKCON Temple,20872,3741,202,B-Khata,13,R
Freedom Park,10773,2205,843,Panchayat,9,R
Art of Living International Center,6958,9979,862,A-Khata,21,R
Ulsoor Lake,19873,15883,1412,BDA,17,C
Sankey Tank,16796,10650,2641,A-Khata,24,C
Snow City,16736,18710,1230,BDA,16,R
Innovative Film City,5737,18909,430,BDA,12,R
Lalbagh Botanical Garden,7185,2684,855,BDA,30,R
Lumbini Gardens,19493,13673,1468,B-Khata,15,R
Visvesvaraya Industrial and Technological Museum,12642,11525,250,BDA,17,R
Commercial Street,16491,9047,1674,B-Khata,15,R
Bannerghatta National Park,6010,3863,948,A-Khata,17,R
ISKCON Temple,12741,18075,778,B-Khata,25,R
ISKCON Temple,13779,14736,2270,BDA,28,C
Kempegowda Museum,21832,8313,2354,BDA,20,C
Shivoham Shiva Temple,11392,15235,2819,BDA,19,R
Bannerghatta National Park,20411,13213,2012,BDA,28,R
Lalbagh Botanical Garden,24570,17947,2398,A-Khata,1,C
Jawaharlal Nehru Stadium,18322,12571,2732,A-Khata,16,R
Bangalore Palace,19210,16030,82,Panchayat,8,R
Commercial Street,13162,4846,2947,B-Khata,13,R
Bull Temple,9365,7828,514,B-Khata,8,C
MG Road,24523,4139,768,Panchayat,18,C
Lumbini Gardens,18568,14317,2220,A-Khata,23,R
Sri Chamarajendra Park,8286,6911,1455,B-Khata,20,R
Freedom Park,12460,19716,1023,A-Khata,8,C
Sri Chamarajendra Park,16842,5518,1893,B-Khata,7,R
Ranga Shankara,13728,11696,1331,BDA,19,R
MG Road,20397,12632,2331,Panchayat,3,C
Ranga Shankara,5881,9829,383,B-Khata,7,R
Innovative Film City,5211,9069,0,BDA,21,R
Nandi Hills,8740,14012,459,Panchayat,10,R
Art of Living International Center,18106,14616,2905,A-Khata,8,C
Kempegowda Museum,20910,5818,2022,B-Khata,14,C
National Gallery of Modern Art,17829,6308,2907,A-Khata,16,C
MG Road,11141,13655,940,Panchayat,17,C
Bull Temple,23378,5110,1944,BDA,25,R
Ranga Shankara,15075,11590,1295,BDA,22,R
Cubbon Park,21260,4437,354,B-Khata,17,R
MG Road,4598,18700,1824,B-Khata,22,C
Bull Temple,7499,8589,1978,B-Khata,28,C
ISKCON Temple,22009,5554,1217,BDA,29,R
Indira Gandhi Musical Fountain Park,5837,11096,1122,A-Khata,22,R
Bull Temple,5498,712,1101,B-Khata,30,C
Jawaharlal Nehru Stadium,6951,16333,2267,Panchayat,30,C
Sankey Tank,17365,2257,2741,Panchayat,14,C
ISKCON Temple,13022,18466,2494,Panchayat,5,R
Gavi Gangadhareshwara Temple,22090,18000,1474,BDA,25,C
Sankey Tank,4912,15300,1749,A-Khata,20,R
Cubbon Park,13572,5120,2261,A-Khata,17,R
Innovative Film City,3673,17886,2425,BDA,26,R
ISKCON Temple,19176,17166,196,BDA,7,C
ISKCON Temple,15299,13981,2830,Panchayat,15,R
Bannerghatta National Park,12140,11113,1738,A-Khata,3,R
Kempegowda Museum,10435,7774,98,A-Khata,1,C
Ulsoor Lake,11794,2589,258,B-Khata,26,C
Jawaharlal Nehru Planetarium,14315,2227,89,A-Khata,1,R
Art of Living International Center,15908,7405,1006,BDA,4,R
Indira Gandhi Musical Fountain Park,9034,14080,1057,BDA,3,C
Visvesvaraya Industrial and Technological Museum,15335,3994,776,B-Khata,7,C
Visvesvaraya Industrial and Technological Museum,7622,3866,2778,BDA,0,C
Art of Living International Center,15933,1616,616,Panchayat,16,C
Kempegowda Museum,14308,10743,2134,BDA,19,R
Nandi Hills,9249,13308,1913,BDA,17,C
Bangalore Palace,22491,2167,2419,B-Khata,26,R
Visvesvaraya Industrial and Technological Museum,8544,16006,497,A-Khata,19,C
Gavi Gangadhareshwara Temple,21953,10925,2702,BDA,18,R
Indira Gandhi Musical Fountain Park,14421,4975,2832,Panchayat,21,R
Jawaharlal Nehru Stadium,3530,582,1713,A-Khata,28,R
National Gallery of Modern Art,15296,5768,2615,B-Khata,16,R
Visvesvaraya Industrial and Technological Museum,3646,5240,423,B-Khata,2,C
