Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rapeseed &Mustard,Kharif     ,Karnataka,6673.0,1790,1260.8,659292.4,1935.17,0.210625
Sunflower,Summer     ,Karnataka,43156.0,24211,1260.8,4263812.8,12515.24,0.595217391
Turmeric,Whole Year ,Karnataka,5007.0,25386,1260.8,494691.6,1452.03,4.682380952
Arecanut,Whole Year ,Puducherry,65.0,130,1434.5875,6898.45,17.55,2.0
Bajra,Kharif     ,Puducherry,170.0,470,1434.5875,18042.1,45.9,2.76
Black pepper,Whole Year ,Puducherry,12.0,7,1434.5875,1273.56,3.24,0.58
Cashewnut,Whole Year ,Puducherry,210.0,177,1434.5875,22287.3,56.7,2.69
Coriander,Whole Year ,Puducherry,3.0,2,1434.5875,318.39,0.81,0.67
Cotton(lint),Kharif     ,Puducherry,357.0,1835,1434.5875,37888.41,96.39,5.14
Dry chillies,Whole Year ,Puducherry,11.0,35,1434.5875,1167.43,2.97,3.305
Ginger,Kharif     ,Puducherry,133.0,94,1434.5875,14115.29,35.91,0.676666667
Groundnut,Kharif     ,Puducherry,898.0,2511,1434.5875,95304.74,242.46,2.125
Jowar,Kharif     ,Puducherry,3.0,3,1434.5875,318.39,0.81,1.0
Moong(Green Gram),Rabi       ,Puducherry,2453.0,1321,1434.5875,260336.89,662.31,0.553333333
Other  Rabi pulses,Rabi       ,Puducherry,63.0,123,1434.5875,6686.19,17.01,1.333333333
Ragi,Kharif     ,Puducherry,124.0,452,1434.5875,13160.12,33.48,3.325
Rapeseed &Mustard,Rabi       ,Puducherry,64.0,483,1434.5875,6792.32,17.28,6.023333333
Rice,Kharif     ,Puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,2.61
Urad,Rabi       ,Puducherry,3159.0,2467,1434.5875,335264.67,852.93,0.763333333
Arecanut,Whole Year ,Andhra Pradesh,262.0,724,935.6,25720.54,68.12,2.78
Arhar/Tur,Rabi       ,Andhra Pradesh,6098.0,2701,935.6,598640.66,1585.48,0.42375
Bajra,Rabi       ,Andhra Pradesh,14229.0,12524,935.6,1396860.93,3699.54,0.883125
Ginger,Whole Year ,Andhra Pradesh,2329.0,6515,935.6,228637.93,605.54,3.14875
Gram,Kharif     ,Andhra Pradesh,100.0,173,935.6,9817.0,26.0,1.1575
Horse-gram,Kharif     ,Andhra Pradesh,13824.0,6838,935.6,1357102.08,3594.24,0.5
Linseed,Rabi       ,Andhra Pradesh,5486.0,1093,935.6,538560.62,1426.36,0.2075
Niger seed,Kharif     ,Andhra Pradesh,18452.0,6001,935.6,1811432.84,4797.52,0.36
Other  Rabi pulses,Rabi       ,Andhra Pradesh,14200.0,5471,935.6,1394014.0,3692.0,0.324705882
Other Kharif pulses,Kharif     ,Andhra Pradesh,19850.0,5000,935.6,1948674.5,5161.0,0.275263158
Potato,Whole Year ,Andhra Pradesh,2489.0,14618,935.6,244345.13,647.14,6.14375
Ragi,Rabi       ,Andhra Pradesh,15760.0,27299,935.6,1547159.2,4097.6,1.639285714
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,4482.0,1048,935.6,439997.94,1165.32,0.151538462
Safflower,Rabi       ,Andhra Pradesh,16198.0,6574,935.6,1590157.66,4211.48,0.34
Sesamum,Rabi       ,Andhra Pradesh,39066.0,7893,935.6,3835109.22,10157.16,0.204444444
Small millets,Rabi       ,Andhra Pradesh,1961.0,1449,935.6,192511.37,509.86,0.681666667
Wheat,Rabi       ,Andhra Pradesh,14261.0,8121,935.6,1400002.37,3707.86,0.581818182
Bajra,Rabi       ,Karnataka,160.0,129,1213.3,15707.2,41.6,0.81
Bajra,Summer     ,Karnataka,913.0,998,1213.3,89629.21,237.38,1.11
Black pepper,Whole Year ,Karnataka,7249.0,17586,1213.3,711634.33,1884.74,2.263636364
Cardamom,Whole Year ,Karnataka,19881.0,1132,1213.3,1951717.77,5169.06,0.06
Castor seed,Kharif     ,Karnataka,30366.0,38871,1213.3,2981030.22,7895.16,1.31
Coriander,Whole Year ,Karnataka,9829.0,1467,1213.3,964912.93,2555.54,0.119047619
Garlic,Whole Year ,Karnataka,5949.0,4156,1213.3,584013.33,1546.74,1.491333333
Jowar,Summer     ,Karnataka,5878.0,11916,1213.3,577043.26,1528.28,2.018571429
Linseed,Rabi       ,Karnataka,17365.0,6404,1213.3,1704722.05,4514.9,0.360714286
Maize,Summer     ,Karnataka,11165.0,31091,1213.3,1096068.05,2902.9,2.774761905
Mesta,Kharif     ,Karnataka,4288.0,6666,1213.3,420952.96,1114.88,1.807142857
Moong(Green Gram),Rabi       ,Karnataka,15474.0,4147,1213.3,1519082.58,4023.24,0.26875
Niger seed,Kharif     ,Karnataka,43842.0,8382,1213.3,4303969.14,11398.92,0.213043478
Other  Rabi pulses,Rabi       ,Karnataka,33468.0,3985,1213.3,3285553.56,8701.68,0.117407407
Ragi,Rabi       ,Karnataka,28464.0,25009,1213.3,2794310.88,7400.64,1.385384615
Ragi,Summer     ,Karnataka,10781.0,21376,1213.3,1058370.77,2803.06,1.982857143
Rapeseed &Mustard,Rabi       ,Karnataka,7637.0,2012,1213.3,749724.29,1985.62,0.208888889
Sannhamp,Whole Year ,Karnataka,1424.0,354,1213.3,139794.08,370.24,0.285
Sunflower,Summer     ,Karnataka,28499.0,20405,1213.3,2797746.83,7409.74,0.7235
Sweet potato,Whole Year ,Karnataka,3501.0,25771,1213.3,343693.17,910.26,6.222142857
Turmeric,Whole Year ,Karnataka,9251.0,41040,1213.3,908170.67,2405.26,4.298095238
Urad,Rabi       ,Karnataka,11924.0,4171,1213.3,1170579.08,3100.24,0.363125
Arecanut,Whole Year ,Puducherry,65.0,130,1434.5875,6381.05,16.9,2.0
Bajra,Kharif     ,Puducherry,186.0,513,1434.5875,18259.62,48.36,2.76
Black pepper,Whole Year ,Puducherry,12.0,7,1434.5875,1178.04,3.12,0.58
Cashewnut,Whole Year ,Puducherry,202.0,121,1434.5875,19830.34,52.52,0.603333333
Coriander,Whole Year ,Puducherry,1.0,1,1434.5875,98.17,0.26,1.0
Cotton(lint),Kharif     ,Puducherry,452.0,2300,1434.5875,44372.84,117.52,5.11
Dry chillies,Whole Year ,Puducherry,10.0,33,1434.5875,981.7,2.6,2.6775
Ginger,Kharif     ,Puducherry,227.0,117,1434.5875,22284.59,59.02,0.54
Groundnut,Kharif     ,Puducherry,1175.0,2158,1434.5875,115349.75,305.5,1.62
Jowar,Kharif     ,Puducherry,6.0,6,1434.5875,589.02,1.56,1.0
Moong(Green Gram),Kharif     ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Moong(Green Gram),Rabi       ,Puducherry,2480.0,1400,1434.5875,243461.6,644.8,0.586666667
Other  Rabi pulses,Rabi       ,Puducherry,64.0,125,1434.5875,6282.88,16.64,1.18
Ragi,Kharif     ,Puducherry,125.0,276,1434.5875,12271.25,32.5,2.21
Rapeseed &Mustard,Rabi       ,Puducherry,63.0,452,1434.5875,6184.71,16.38,6.265
Rice,Kharif     ,Puducherry,42779.0,103606,1434.5875,4199614.43,11122.54,2.605
Urad,Kharif     ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Urad,Rabi       ,Puducherry,3392.0,2123,1434.5875,332992.64,881.92,0.706666667
Arecanut,Whole Year ,Andhra Pradesh,268.0,449,928.4,27370.84,69.68,1.71
Arhar/Tur,Rabi       ,Andhra Pradesh,5439.0,2706,928.4,555485.07,1414.14,0.46
Bajra,Rabi       ,Andhra Pradesh,9684.0,7442,928.4,989026.92,2517.84,0.795
Ginger,Whole Year ,Andhra Pradesh,2547.0,6263,928.4,260125.11,662.22,2.4375
Gram,Kharif     ,Andhra Pradesh,91.0,101,928.4,9293.83,23.66,1.092857143
Horse-gram,Kharif     ,Andhra Pradesh,11412.0,4417,928.4,1165507.56,2967.12,0.368888889
Linseed,Rabi       ,Andhra Pradesh,5872.0,1419,928.4,599707.36,1526.72,0.218333333
Niger seed,Kharif     ,Andhra Pradesh,19090.0,8017,928.4,1949661.7,4963.4,0.38
Other  Rabi pulses,Rabi       ,Andhra Pradesh,13750.0,5012,928.4,1404287.5,3575.0,0.510666667
Other Kharif pulses,Kharif     ,Andhra Pradesh,17331.0,4573,928.4,1770015.03,4506.06,0.314210526
Potato,Whole Year ,Andhra Pradesh,2348.0,14653,928.4,239801.24,610.48,5.85
Ragi,Rabi       ,Andhra Pradesh,12994.0,22707,928.4,1327077.22,3378.44,1.738
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,2452.0,790,928.4,250422.76,637.52,0.3275
Safflower,Rabi       ,Andhra Pradesh,19728.0,5920,928.4,2014820.64,5129.28,0.303
Sesamum,Rabi       ,Andhra Pradesh,39475.0,10049,928.4,4031581.75,10263.5,0.283684211
Small millets,Rabi       ,Andhra Pradesh,931.0,760,928.4,95083.03,242.06,0.732
Wheat,Rabi       ,Andhra Pradesh,13793.0,9486,928.4,1408679.09,3586.18,0.6275
Bajra,Rabi       ,Karnataka,442.0,221,1002.9,45141.46,114.92,0.5
Bajra,Summer     ,Karnataka,850.0,929,1002.9,86810.5,221.0,1.09
Black pepper,Whole Year ,Karnataka,9699.0,22185,1002.9,990558.87,2521.74,2.213846154
Castor seed,Kharif     ,Karnataka,21799.0,16137,1002.9,2226331.87,5667.74,0.704
Coriander,Whole Year ,Karnataka,11307.0,1845,1002.9,1154783.91,2939.82,0.116818182
Jowar,Summer     ,Karnataka,6418.0,12385,1002.9,655470.34,1668.68,1.951538462
Linseed,Rabi       ,Karnataka,19611.0,6581,1002.9,2002871.43,5098.86,0.329285714
Maize,Summer     ,Karnataka,9272.0,23960,1002.9,946949.36,2410.72,2.6265
Mesta,Kharif     ,Karnataka,3668.0,5195,1002.9,374612.84,953.68,1.94375
Moong(Green Gram),Rabi       ,Karnataka,7111.0,2090,1002.9,726246.43,1848.86,0.282941176
Niger seed,Kharif     ,Karnataka,36198.0,7034,1002.9,3696901.74,9411.48,0.213043478
Other  Rabi pulses,Rabi       ,Karnataka,29824.0,3478,1002.9,3045925.12,7754.24,0.12037037
Peas & beans (Pulses),Whole Year ,Karnataka,6974.0,42197,1002.9,712254.62,1813.24,6.209444444
Ragi,Rabi       ,Karnataka,40407.0,46560,1002.9,4126766.91,10505.82,1.212307692
Ragi,Summer     ,Karnataka,9271.0,14154,1002.9,946847.23,2410.46,1.545833333
Rapeseed &Mustard,Rabi       ,Karnataka,7063.0,1905,1002.9,721344.19,1836.38,0.221764706
Sannhamp,Whole Year ,Karnataka,2555.0,634,1002.9,260942.15,664.3,0.238333333
Soyabean,Kharif     ,Karnataka,48444.0,40217,1002.9,4947585.72,12595.44,0.808
Sunflower,Summer     ,Karnataka,41936.0,34270,1002.9,4282923.68,10903.36,0.820526316
Turmeric,Whole Year ,Karnataka,7058.0,36369,1002.9,720833.54,1835.08,4.797272727
Urad,Rabi       ,Karnataka,11853.0,4448,1002.9,1210546.89,3081.78,0.347142857
Arecanut,Whole Year ,Puducherry,65.0,137,1434.5875,6638.45,16.9,2.11
Bajra,Kharif     ,Puducherry,162.0,345,1434.5875,16545.06,42.12,2.13
Black pepper,Whole Year ,Puducherry,12.0,11,1434.5875,1225.56,3.12,0.92
Cashewnut,Whole Year ,Puducherry,191.0,134,1434.5875,19506.83,49.66,1.063333333
Coriander,Whole Year ,Puducherry,2.0,1,1434.5875,204.26,0.52,0.5
Cotton(lint),Kharif     ,Puducherry,575.0,2965,1434.5875,58724.75,149.5,5.23
Ginger,Kharif     ,Puducherry,171.0,89,1434.5875,17464.23,44.46,0.375
Groundnut,Kharif     ,Puducherry,1229.0,1915,1434.5875,125517.77,319.54,1.195
Moong(Green Gram),Rabi       ,Puducherry,544.0,105,1434.5875,55558.72,141.44,0.236666667
Other  Rabi pulses,Rabi       ,Puducherry,116.0,91,1434.5875,11847.08,30.16,0.68
Ragi,Kharif     ,Puducherry,138.0,325,1434.5875,14093.94,35.88,2.36
Rapeseed &Mustard,Rabi       ,Puducherry,71.0,530,1434.5875,7251.23,18.46,6.345
Rice,Kharif     ,Puducherry,26263.0,66868,1434.5875,2682240.19,6828.38,2.415
Urad,Rabi       ,Puducherry,811.0,267,1434.5875,82827.43,210.86,0.423333333
Arecanut,Whole Year ,Andhra Pradesh,296.0,427,648.1,28022.32,74.0,1.4525
Arhar/Tur,Rabi       ,Andhra Pradesh,8200.0,3004,648.1,776294.0,2050.0,0.299333333
Bajra,Rabi       ,Andhra Pradesh,7268.0,3953,648.1,688061.56,1817.0,0.594285714
Coriander,Whole Year ,Andhra Pradesh,45073.0,13721,648.1,4267060.91,11268.25,0.414705882
Dry chillies,Rabi       ,Andhra Pradesh,47247.0,99444,648.1,4472873.49,11811.75,2.070909091
Ginger,Whole Year ,Andhra Pradesh,2026.0,3313,648.1,191801.42,506.5,1.635
Gram,Kharif     ,Andhra Pradesh,37.0,45,648.1,3502.79,9.25,1.0075
Horse-gram,Kharif     ,Andhra Pradesh,14961.0,6547,648.1,1416357.87,3740.25,0.420833333
Linseed,Rabi       ,Andhra Pradesh,4070.0,1238,648.1,385306.9,1017.5,0.322857143
Niger seed,Kharif     ,Andhra Pradesh,14919.0,5743,648.1,1412381.73,3729.75,0.38
Other  Rabi pulses,Rabi       ,Andhra Pradesh,1873.0,518,648.1,177316.91,468.25,0.27375
Other Kharif pulses,Kharif     ,Andhra Pradesh,6915.0,1532,648.1,654643.05,1728.75,0.223
Ragi,Rabi       ,Andhra Pradesh,9610.0,12393,648.1,909778.7,2402.5,1.251428571
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,3369.0,742,648.1,318943.23,842.25,0.302857143
Safflower,Rabi       ,Andhra Pradesh,19350.0,6776,648.1,1831864.5,4837.5,0.318181818
Sesamum,Rabi       ,Andhra Pradesh,28050.0,5545,648.1,2655493.5,7012.5,0.209444444
Small millets,Kharif     ,Andhra Pradesh,46256.0,21891,648.1,4379055.52,11564.0,0.461538462
Small millets,Rabi       ,Andhra Pradesh,1986.0,720,648.1,188014.62,496.5,0.328333333
Soyabean,Kharif     ,Andhra Pradesh,41284.0,0,648.1,3908356.28,10321.0,0.0
Tapioca,Whole Year ,Andhra Pradesh,13138.0,79474,648.1,1243774.46,3284.5,5.034285714
Wheat,Rabi       ,Andhra Pradesh,11044.0,14898,648.1,1045535.48,2761.0,1.09
other oilseeds,Rabi       ,Andhra Pradesh,10921.0,13551,648.1,1033891.07,2730.25,1.224666667
Arecanut,Whole Year ,Tamil Nadu,4956.0,0,315.9,469184.52,1239.0,0.0
Arhar/Tur,Kharif     ,Tamil Nadu,44127.0,24067,315.9,4177503.09,11031.75,0.535416667
Castor seed,Kharif     ,Tamil Nadu,17749.0,5600,315.9,1680297.83,4437.25,0.376666667
Coriander,Whole Year ,Tamil Nadu,25326.0,4707,315.9,2397612.42,6331.5,0.191818182
Garlic,Whole Year ,Tamil Nadu,565.0,3378,315.9,53488.55,141.25,5.69
Gram,Rabi       ,Tamil Nadu,6199.0,4172,315.9,586859.33,1549.75,0.581666667
Rapeseed &Mustard,Rabi       ,Tamil Nadu,585.0,142,315.9,55381.95,146.25,0.206
Small millets,Kharif     ,Tamil Nadu,7348.0,4137,315.9,695635.16,1837.0,0.575454545
Sunflower,Kharif     ,Tamil Nadu,7709.0,8908,315.9,729811.03,1927.25,1.075217391
Tobacco,Whole Year ,Tamil Nadu,8213.0,12630,315.9,777524.71,2053.25,1.435454545
Turmeric,Whole Year ,Tamil Nadu,17298.0,64536,315.9,1637601.66,4324.5,3.67
Arecanut,Whole Year ,Andhra Pradesh,311.0,221,826.0,30782.78,74.64,0.704
Arhar/Tur,Rabi       ,Andhra Pradesh,7492.0,3246,826.0,741558.16,1798.08,0.41625
Bajra,Rabi       ,Andhra Pradesh,9603.0,6475,826.0,950504.94,2304.72,0.88375
Coriander,Whole Year ,Andhra Pradesh,48644.0,15999,826.0,4814783.12,11674.56,0.405294118
Dry chillies,Rabi       ,Andhra Pradesh,50772.0,135462,826.0,5025412.56,12185.28,2.584545455
Ginger,Whole Year ,Andhra Pradesh,1873.0,5614,826.0,185389.54,449.52,2.995
Gram,Kharif     ,Andhra Pradesh,52.0,90,826.0,5146.96,12.48,1.656666667
Horse-gram,Kharif     ,Andhra Pradesh,11304.0,4592,826.0,1118869.92,2712.96,0.35
Linseed,Rabi       ,Andhra Pradesh,4542.0,1193,826.0,449567.16,1090.08,0.21
Niger seed,Kharif     ,Andhra Pradesh,17295.0,6792,826.0,1711859.1,4150.8,0.375
Other  Rabi pulses,Rabi       ,Andhra Pradesh,4333.0,795,826.0,428880.34,1039.92,0.181818182
Other Kharif pulses,Kharif     ,Andhra Pradesh,8349.0,2056,826.0,826384.02,2003.76,0.240769231
Ragi,Rabi       ,Andhra Pradesh,10845.0,19018,826.0,1073438.1,2602.8,1.783076923
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,1695.0,432,826.0,167771.1,406.8,0.285714286
Safflower,Rabi       ,Andhra Pradesh,17250.0,5331,826.0,1707405.0,4140.0,0.297272727
Sesamum,Rabi       ,Andhra Pradesh,46892.0,9544,826.0,4641370.16,11254.08,0.204210526
Small millets,Kharif     ,Andhra Pradesh,47510.0,28020,826.0,4702539.8,11402.4,0.518666667
Small millets,Rabi       ,Andhra Pradesh,3134.0,1748,826.0,310203.32,752.16,0.577142857
Tapioca,Whole Year ,Andhra Pradesh,19456.0,122145,826.0,1925754.88,4669.44,6.29
Wheat,Rabi       ,Andhra Pradesh,11928.0,6741,826.0,1180633.44,2862.72,0.481818182
other oilseeds,Rabi       ,Andhra Pradesh,14609.0,0,826.0,1445998.82,3506.16,0.0
Bajra,Rabi       ,Karnataka,117.0,105,867.6,11580.66,28.08,0.9
Bajra,Summer     ,Karnataka,300.0,271,867.6,29694.0,72.0,0.9225
Black pepper,Whole Year ,Karnataka,10694.0,23561,867.6,1058492.12,2566.56,2.220833333
Cardamom,Whole Year ,Karnataka,19480.0,1106,867.6,1928130.4,4675.2,0.061428571
Castor seed,Kharif     ,Karnataka,17214.0,15439,867.6,1703841.72,4131.36,0.906190476
Coriander,Whole Year ,Karnataka,7797.0,1187,867.6,771747.06,1871.28,0.1195
Garlic,Whole Year ,Karnataka,3970.0,2902,867.6,392950.6,952.8,1.331764706
Jowar,Summer     ,Karnataka,7007.0,18783,867.6,693552.86,1681.68,2.634666667
Linseed,Rabi       ,Karnataka,12909.0,996,867.6,1277732.82,3098.16,0.067142857
Maize,Summer     ,Karnataka,8428.0,20264,867.6,834203.44,2022.72,2.470909091
Mesta,Kharif     ,Karnataka,4060.0,6055,867.6,401858.8,974.4,1.72
Moong(Green Gram),Rabi       ,Karnataka,8380.0,2451,867.6,829452.4,2011.2,0.290666667
Niger seed,Kharif     ,Karnataka,27485.0,5158,867.6,2720465.3,6596.4,0.213043478
Other  Rabi pulses,Rabi       ,Karnataka,24803.0,2864,867.6,2455000.94,5952.72,0.114
Ragi,Summer     ,Karnataka,6565.0,7808,867.6,649803.7,1575.6,1.190833333
Rapeseed &Mustard,Rabi       ,Karnataka,6048.0,1706,867.6,598631.04,1451.52,0.223529412
Sannhamp,Whole Year ,Karnataka,466.0,116,867.6,46124.68,111.84,0.144285714
Sunflower,Summer     ,Karnataka,37795.0,19977,867.6,3740949.1,9070.8,0.567894737
Sweet potato,Whole Year ,Karnataka,3580.0,28718,867.6,354348.4,859.2,6.229333333
Turmeric,Whole Year ,Karnataka,5410.0,26381,867.6,535481.8,1298.4,4.343809524
Urad,Rabi       ,Karnataka,11397.0,6002,867.6,1128075.06,2735.28,0.49
Arecanut,Whole Year ,Puducherry,64.0,77,1434.5875,6334.72,15.36,1.2
Bajra,Kharif     ,Puducherry,197.0,383,1434.5875,19499.06,47.28,1.94
Black pepper,Whole Year ,Puducherry,12.0,8,1434.5875,1187.76,2.88,0.67
Cashewnut,Whole Year ,Puducherry,217.0,172,1434.5875,21478.66,52.08,1.08
Coriander,Whole Year ,Puducherry,2.0,1,1434.5875,197.96,0.48,0.5
Cotton(lint),Kharif     ,Puducherry,453.0,1747,1434.5875,44837.94,108.72,4.095
Dry chillies,Whole Year ,Puducherry,11.0,30,1434.5875,1088.78,2.64,2.333333333
Ginger,Kharif     ,Puducherry,187.0,156,1434.5875,18509.26,44.88,0.565
Moong(Green Gram),Rabi       ,Puducherry,1299.0,388,1434.5875,128575.02,311.76,0.483333333
Other  Rabi pulses,Rabi       ,Puducherry,141.0,138,1434.5875,13956.18,33.84,0.99
Ragi,Kharif     ,Puducherry,121.0,266,1434.5875,11976.58,29.04,1.605
Rice,Kharif     ,Puducherry,25065.0,67003,1434.5875,2480933.7,6015.6,2.993333333
Urad,Rabi       ,Puducherry,1174.0,437,1434.5875,116202.52,281.76,0.71
Arecanut,Whole Year ,Tamil Nadu,5219.0,0,345.6,516576.62,1252.56,0.0
Arhar/Tur,Kharif     ,Tamil Nadu,44914.0,27475,345.6,4445587.72,10779.36,0.6396
Black pepper,Whole Year ,Tamil Nadu,4179.0,933,345.6,413637.42,1002.96,0.141666667
Cardamom,Whole Year ,Tamil Nadu,5221.0,478,345.6,516774.58,1253.04,0.079
Castor seed,Kharif     ,Tamil Nadu,8720.0,2975,345.6,863105.6,2092.8,0.409545455
Coriander,Whole Year ,Tamil Nadu,27722.0,8052,345.6,2743923.56,6653.28,0.300740741
Garlic,Whole Year ,Tamil Nadu,595.0,3411,345.6,58893.1,142.8,5.54
Gram,Rabi       ,Tamil Nadu,6625.0,4349,345.6,655742.5,1590.0,0.586666667
Rapeseed &Mustard,Rabi       ,Tamil Nadu,376.0,93,345.6,37216.48,90.24,0.386666667
Sunflower,Kharif     ,Tamil Nadu,10367.0,13408,345.6,1026125.66,2488.08,1.1916
Turmeric,Whole Year ,Tamil Nadu,16181.0,67250,345.6,1601595.38,3883.44,3.909615385
Bajra,Rabi       ,Karnataka,222.0,200,1117.7,24051.48,46.62,0.9
Bajra,Summer     ,Karnataka,2108.0,1705,1117.7,228380.72,442.68,0.873333333
Black pepper,Whole Year ,Karnataka,12344.0,27517,1117.7,1337348.96,2592.24,2.26
Cardamom,Whole Year ,Karnataka,19461.0,1105,1117.7,2108404.74,4086.81,0.0575
Castor seed,Kharif     ,Karnataka,20161.0,17493,1117.7,2184242.74,4233.81,0.908
Coriander,Whole Year ,Karnataka,9626.0,1491,1117.7,1042880.84,2021.46,0.119
Garlic,Whole Year ,Karnataka,5202.0,3584,1117.7,563584.68,1092.42,1.360625
Jowar,Summer     ,Karnataka,15977.0,12690,1117.7,1730948.18,3355.17,0.799230769
Linseed,Rabi       ,Karnataka,14414.0,3046,1117.7,1561612.76,3026.94,0.206428571
Maize,Rabi       ,Karnataka,57478.0,171589,1117.7,6227166.52,12070.38,2.84826087
Maize,Summer     ,Karnataka,9056.0,27678,1117.7,981127.04,1901.76,3.007826087
Mesta,Kharif     ,Karnataka,2810.0,3983,1117.7,304435.4,590.1,1.714
Moong(Green Gram),Rabi       ,Karnataka,5792.0,1412,1117.7,627505.28,1216.32,0.239411765
Niger seed,Kharif     ,Karnataka,32700.0,6169,1117.7,3542718.0,6867.0,0.213913043
Other  Rabi pulses,Rabi       ,Karnataka,23981.0,2810,1117.7,2598101.54,5036.01,0.120384615
Ragi,Rabi       ,Karnataka,44613.0,30621,1117.7,4833372.42,9368.73,1.294285714
Ragi,Summer     ,Karnataka,7447.0,11853,1117.7,806807.98,1563.87,1.556923077
Rapeseed &Mustard,Rabi       ,Karnataka,5855.0,1627,1117.7,634330.7,1229.55,0.216315789
Rice,Rabi       ,Karnataka,43861.0,144235,1117.7,4751900.74,9210.81,3.388666667
Sannhamp,Whole Year ,Karnataka,147.0,37,1117.7,15925.98,30.87,0.25
Small millets,Kharif     ,Karnataka,58359.0,30584,1117.7,6322614.06,12255.39,0.532105263
Sunflower,Summer     ,Karnataka,45930.0,29797,1117.7,4976056.2,9645.3,0.684347826
Sweet potato,Whole Year ,Karnataka,3583.0,29199,1117.7,388182.22,752.43,6.102142857
Turmeric,Whole Year ,Karnataka,4080.0,19386,1117.7,442027.2,856.8,4.482857143
Urad,Rabi       ,Karnataka,4505.0,1550,1117.7,488071.7,946.05,0.347857143
